Block,Reward Era, BTC/block, Year, Start BTC, BTC Added, End BTC, BTC Increase, End BTC % of Limit
0,1,50.00,2009,0,2625000,2625000,infinite,12.500%
52500,1,50.00,2010,2625000,2625000,5250000,100.00%,25.000%
105000,1,50.00,2011,5250000,2625000,7875000,50.00%,37.500%
157500,1,50.00,2012,7875000,2625000,10500000,33.33%,50.000%
210000,2,25.00,2013,10500000,1312500,11812500,12.50%,56.250%
262500,2,25.00,2014,11812500,1312500,13125000,11.11%,62.500%
315000,2,25.00,2015,13125000,1312500,14437500,10.00%,68.750%
367500,2,25.00,2016,14437500,1312500,15750000,9.09%,75.000%
420000,3,12.50,2017,15750000,656250,16406250,4.17%,78.125%
472500,3,12.50,2018,16406250,656250,17062500,4.00%,81.250%
525000,3,12.50,2019,17062500,656250,17718750,3.85%,84.375%
577500,3,12.50,2020,17718750,656250,18375000,3.70%,87.500%
630000,4,6.25,2021,18375000,328125,18703125,1.79%,89.063%
682500,4,6.25,2022,18703125,328125,19031250,1.75%,90.625%
735000,4,6.25,2023,19031250,328125,19359375,1.72%,92.188%
787500,4,6.25,2024,19359375,328125,19687500,1.69%,93.750%
